"lineage","lineagegroup"
"B.1.1.7","Alpha"
"B.1.1.529","Omicron"
"BA.1","BA.1"
"BA.1.1","BA.1.X"
"BA.1.10","BA.1.X"
"BA.1.1.1","BA.1.X"
"BA.1.1.10","BA.1.X"
"BA.1.1.11","BA.1.X"
"BA.1.1.13","BA.1.X"
"BA.1.1.14","BA.1.X"
"BA.1.1.15","BA.1.X"
"BA.1.1.16","BA.1.X"
"BA.1.1.18","BA.1.X"
"BA.1.1.2","BA.1.X"
"BA.1.13","BA.1.X"
"BA.1.13.1","BA.1.X"
"BA.1.14","BA.1.X"
"BA.1.1.4","BA.1.X"
"BA.1.15","BA.1.X"
"BA.1.15.1","BA.1.X"
"BA.1.16","BA.1.X"
"BA.1.17","BA.1.X"
"BA.1.1.7","BA.1.X"
"BA.1.17.1","BA.1.X"
"BA.1.17.2","BA.1.X"
"BA.1.18","BA.1.X"
"BA.1.1.8","BA.1.X"
"BA.1.19","BA.1.X"
"BA.1.1.9","BA.1.X"
"BA.1.20","BA.1.X"
"BA.1.21","BA.1.X"
"BA.1.21.1","BA.1.X"
"BA.1.6","BA.1.X"
"BA.1.7","BA.1.X"
"BA.1.8","BA.1.X"
"BA.1.9","BA.1.X"
"BA.2","BA.2"
"BA.2.10","BA.2.10"
"BA.2.10.1","BA.2.10"
"BA.2.12","BA.2.12"
"BA.2.1","BA.2.X"
"BA.2.11","BA.2.X"
"BA.2.16","BA.2.X"
"BA.2.17","BA.2.X"
"BA.2.18","BA.2.X"
"BA.2.20","BA.2.X"
"BA.2.23","BA.2.X"
"BA.2.26","BA.2.X"
"BA.2.27","BA.2.X"
"BA.2.29","BA.2.X"
"BA.2.3","BA.2.X"
"BA.2.31","BA.2.X"
"BA.2.32","BA.2.X"
"BA.2.3.2","BA.2.X"
"BA.2.33","BA.2.X"
"BA.2.3.3","BA.2.X"
"BA.2.4","BA.2.X"
"BA.2.5","BA.2.X"
"BA.2.7","BA.2.X"
"BA.2.9","BA.2.X"
"BA.2.2 ","BA.2.X"
"BA.2.12.1","BA.2.12"
"BA.3","BA.3"
"B.1.351","Beta"
"AY.1","Delta"
"AY.113","Delta"
"AY.122","Delta"
"B.1.617.2","Delta"
"B.1.429","Epsilon"
"B.1.525","Eta"
"P.1","Gamma"
"B.1.526","Iota"
"B.1.617.1","Kappa"
"A","Other"
"A.1","Other"
"A.19","Other"
"A.2","Other"
"A.23.1","Other"
"A.27","Other"
"A.29","Other"
"AE.3","Other"
"AE.4","Other"
"AY.100","Delta"
"AY.101","Delta"
"AY.102","Delta"
"AY.103","Delta"
"AY.104","Delta"
"AY.105","Delta"
"AY.106","Delta"
"AY.107","Delta"
"AY.108","Delta"
"AY.109","Delta"
"AY.110","Delta"
"AY.111","Delta"
"AY.112","Delta"
"AY.112.2","Delta"
"AY.116","Delta"
"AY.117","Delta"
"AY.118","Delta"
"AY.119","Delta"
"AY.119.2","Delta"
"AY.120","Delta"
"AY.120.2","Delta"
"AY.121.1","Delta"
"AY.122.1","Delta"
"AY.122.6","Delta"
"AY.124","Delta"
"AY.124.1.1","Delta"
"AY.125","Delta"
"AY.126","Delta"
"AY.127","Delta"
"AY.127.1","Delta"
"AY.128","Delta"
"AY.129","Delta"
"AY.131","Delta"
"AY.15","Delta"
"AY.16","Delta"
"AY.20","Delta"
"AY.21","Delta"
"AY.23","Delta"
"AY.23.1","Delta"
"AY.24","Delta"
"AY.25","Delta"
"AY.25.1","Delta"
"AY.27","Delta"
"AY.28","Delta"
"AY.29.1","Delta"
"AY.3","Delta"
"AY.30","Delta"
"AY.32","Delta"
"AY.33","Delta"
"AY.34","Delta"
"AY.34.1","Delta"
"AY.36","Delta"
"AY.37","Delta"
"AY.38","Delta"
"AY.39","Delta"
"AY.39.1","Delta"
"AY.39.1.1","Delta"
"AY.39.1.4","Delta"
"AY.39.3","Delta"
"AY.4","Delta"
"AY.4.13","Delta"
"AY.42","Delta"
"AY.4.2","Delta"
"AY.4.2.1","Delta"
"AY.4.2.2","Delta"
"AY.4.2.3","Delta"
"AY.43","Delta"
"AY.4.3","Delta"
"AY.43.7","Delta"
"AY.44","Delta"
"AY.45","Delta"
"AY.4.5","Delta"
"AY.46","Delta"
"AY.46.2","Delta"
"AY.46.3","Delta"
"AY.46.4","Delta"
"AY.46.5","Delta"
"AY.46.6","Delta"
"AY.47","Delta"
"AY.48","Delta"
"AY.4.8","Delta"
"AY.5","Delta"
"AY.52","Delta"
"AY.53","Delta"
"AY.54","Delta"
"AY.5.4","Delta"
"AY.55","Delta"
"AY.57","Delta"
"AY.58","Delta"
"AY.59","Delta"
"AY.6","Delta"
"AY.61","Delta"
"AY.65","Delta"
"AY.71","Delta"
"AY.75","Delta"
"AY.76","Delta"
"AY.77","Delta"
"AY.79","Delta"
"AY.8","Delta"
"AY.80","Delta"
"AY.82","Delta"
"AY.83","Delta"
"AY.84","Delta"
"AY.85","Delta"
"AY.86","Delta"
"AY.88","Delta"
"AY.9","Delta"
"AY.91","Delta"
"AY.92","Delta"
"AY.93","Delta"
"AY.94","Delta"
"AY.95","Delta"
"AY.98","Delta"
"AY.98.1","Delta"
"AY.99","Delta"
"AY.99.1","Delta"
"B","Other"
"B.1","Other"
"B.11","Other"
"B.1.1","Other"
"B.1.1.10","Other"
"B.1.1.101","Other"
"B.1.111","Other"
"B.1.1.112","Other"
"B.1.1.117","Other"
"B.1.113","Other"
"B.1.1.132","Other"
"B.1.116","Other"
"B.1.1.161","Other"
"B.1.1.168","Other"
"B.1.1.174","Other"
"B.1.1.189","Other"
"B.1.1.201","Other"
"B.1.1.214","Other"
"B.1.1.216","Other"
"B.1.1.220","Other"
"B.1.1.222","Other"
"B.1.1.25","Other"
"B.1.1.27","Other"
"B.1.1.273","Other"
"B.1.1.274","Other"
"B.1.1.282","Other"
